title,video_id,published_at,thumbnail_url,duration,views,likes,comments,engagement_rate,avg_view_duration_seconds,avg_view_duration,retention_rate
How To Build & Sell APIs Without Coding (Full Guide),ZaJURMrXtmc,2025-02-28 15:23:33,https://i.ytimg.com/vi/ZaJURMrXtmc/maxresdefault.jpg,22:57,18857,868,69,4.97,248,4:08,18.01
How To Build & Sell Simple AI Agents - Step by Step,4y9ss33QWTY,2025-02-20 16:00:04,https://i.ytimg.com/vi/4y9ss33QWTY/maxresdefault.jpg,21:04,177472,6339,270,3.72,222,3:42,17.56
3 Skills To Survive in the AI ERA!,zp0GqmvlwnQ,2025-02-12 13:48:54,https://i.ytimg.com/vi/zp0GqmvlwnQ/maxresdefault.jpg,10:17,11656,516,62,4.96,175,2:55,28.36
Not Getting Traffic to your website? Try This in 2025!,Ik89FPGSC8A,2025-01-31 12:50:37,https://i.ytimg.com/vi/Ik89FPGSC8A/maxresdefault.jpg,10:45,13365,518,49,4.24,170,2:50,26.36
This Free Automated System Will EXPLODE Your Website Traffic!,cxGRFvW5Jr4,2025-01-08 13:08:03,https://i.ytimg.com/vi/cxGRFvW5Jr4/maxresdefault.jpg,15:13,14034,546,35,4.14,243,4:03,26.62
5 New Online Business Ideas for 2025 You Can Start for Free,dQ9r-v1Y0zI,2024-12-27 14:21:57,https://i.ytimg.com/vi/dQ9r-v1Y0zI/maxresdefault.jpg,13:27,34371,1246,69,3.83,202,3:22,25.03
How to Make your First $1000 Online with Zero Budget - Step by Step!,Ut08wTDsDkw,2024-11-30 13:18:46,https://i.ytimg.com/vi/Ut08wTDsDkw/maxresdefault.jpg,13:18,33066,1258,89,4.07,257,4:17,32.21
Build & Sell AI Chatbots Without Coding | Beginner's Guide 2025,jKXbm1zN4wk,2024-11-25 12:54:55,https://i.ytimg.com/vi/jKXbm1zN4wk/maxresdefault.jpg,24:31,16471,602,46,3.93,379,6:19,25.76
How To Create Killer Viral Content With AI - NOT ChatGPT!,3Zak4x9mZag,2024-11-17 11:26:35,https://i.ytimg.com/vi/3Zak4x9mZag/maxresdefault.jpg,14:50,22437,814,79,3.98,220,3:40,24.72
Affiliate Marketing With AI (Not For Beginners),4M58OEHGsmU,2024-10-29 12:43:30,https://i.ytimg.com/vi/4M58OEHGsmU/maxresdefault.jpg,9:24,17707,649,56,3.98,163,2:43,28.9
New Simple System To Make Money Online in 2024 (No Bs),r3Kw3d7sp7E,2024-10-22 12:16:40,https://i.ytimg.com/vi/r3Kw3d7sp7E/maxresdefault.jpg,13:29,53796,1687,130,3.38,230,3:50,28.43
No One Will Share This AI SEO Tool For Free - But I Will ðŸ˜±,LJHnzsmX1-o,2024-10-03 13:47:50,https://i.ytimg.com/vi/LJHnzsmX1-o/maxresdefault.jpg,12:00,32470,1528,128,5.1,161,2:41,22.36
Get More Traffic Without Creating New Content!,Zym2iDvArWw,2024-09-24 14:32:15,https://i.ytimg.com/vi/Zym2iDvArWw/maxresdefault.jpg,13:46,20865,766,59,3.95,198,3:18,23.97
I Found a New Way To Make Money With WordPress!,cfNZ_3HevPM,2024-08-30 12:37:14,https://i.ytimg.com/vi/cfNZ_3HevPM/maxresdefault.jpg,17:01,32250,1092,119,3.76,232,3:52,22.72
The Fastest Way To Get Traffic To Any Website ( Free Tool ),jg-9KvKHEGg,2024-08-27 13:24:54,https://i.ytimg.com/vi/jg-9KvKHEGg/maxresdefault.jpg,14:55,108998,2914,216,2.87,156,2:36,17.43
The Real Way To Make Money With AI & Automation (No BS),M0n4dxhpVm4,2024-08-22 14:24:54,https://i.ytimg.com/vi/M0n4dxhpVm4/maxresdefault.jpg,17:56,33215,1347,103,4.37,236,3:56,21.93
SEO Experts hate me for sharing this Secret for free!,jGNpo04JwfQ,2024-07-30 13:19:38,https://i.ytimg.com/vi/jGNpo04JwfQ/maxresdefault.jpg,10:38,31736,1088,196,4.05,196,3:16,30.72
No One Will Share This AI Marketing Tool For Free!,yVdz_GgyGaI,2024-07-25 15:14:46,https://i.ytimg.com/vi/yVdz_GgyGaI/maxresdefault.jpg,19:35,41646,1669,557,5.35,376,6:16,32.0
"I built 10 AI Tools, and am giving it for free!",FukaIPVpmnA,2024-06-28 11:43:31,https://i.ytimg.com/vi/FukaIPVpmnA/maxresdefault.jpg,24:32,44337,1624,322,4.39,376,6:16,25.54
How I Grow Any Website from Zero to 100K Visitors!,DAmL-b_c85c,2024-06-25 13:07:05,https://i.ytimg.com/vi/DAmL-b_c85c/maxresdefault.jpg,12:58,20315,774,48,4.05,216,3:36,27.76
Create Viral Content With this Automated System,jWvxK0HwvSE,2024-06-13 12:25:59,https://i.ytimg.com/vi/jWvxK0HwvSE/maxresdefault.jpg,13:41,27449,1381,140,5.54,217,3:37,26.43
I Found a New Easy Online Business No One is Talking About!,187gLkUETVM,2024-05-30 12:48:13,https://i.ytimg.com/vi/187gLkUETVM/maxresdefault.jpg,24:32,48269,1322,62,2.87,330,5:30,22.42
Start a One-Person Online Business in 5 Steps (No Bs Guide),SajkR4vyUco,2024-05-23 12:51:46,https://i.ytimg.com/vi/SajkR4vyUco/maxresdefault.jpg,17:55,35622,1526,76,4.5,294,4:54,27.35
Sell This Digital Product To Beat The Competition Today!,QqIdHQo6uy8,2024-05-16 13:51:33,https://i.ytimg.com/vi/QqIdHQo6uy8/maxresdefault.jpg,14:17,39477,1509,96,4.07,258,4:18,30.11
Create AI Agents From Scratch With Python! (Free Course),cDm5vPXVln8,2024-04-30 13:24:58,https://i.ytimg.com/vi/cDm5vPXVln8/maxresdefault.jpg,22:41,107862,2741,116,2.65,258,4:18,18.96
Create a Free AI Chatbot on WordPress in 5 Minutes,aKOrHbhPhQE,2024-04-25 13:02:18,https://i.ytimg.com/vi/aKOrHbhPhQE/maxresdefault.jpg,25:03,38955,1341,139,3.8,327,5:27,21.76
This Free AI System Will Create Unique Content in Seconds!,hlRf_v3g8JU,2024-04-16 12:53:46,https://i.ytimg.com/vi/hlRf_v3g8JU/hqdefault.jpg,13:32,170707,5617,504,3.59,163,2:43,20.07
Create Free AI Tools With WordPress and Gemini in 3 Minutes,Pl25QeHVjvM,2024-03-21 14:42:25,https://i.ytimg.com/vi/Pl25QeHVjvM/maxresdefault.jpg,14:01,46132,1409,182,3.45,187,3:07,22.24
Digital Marketing with AI Free Course (20+ Practical Examples),ma03wkb-PzE,2024-02-29 14:00:30,https://i.ytimg.com/vi/ma03wkb-PzE/maxresdefault.jpg,34:02,53015,1931,103,3.84,328,5:28,16.06
Build SaaS with WordPress With 3 Plugins Only!,r9PjzmUmk1w,2024-02-15 13:48:36,https://i.ytimg.com/vi/r9PjzmUmk1w/hqdefault.jpg,4:12,35709,1039,42,3.03,104,1:44,41.27
I Built a Team of AIs to 10x My Business!,r01XCNjYTc0,2024-02-01 16:21:19,https://i.ytimg.com/vi/r01XCNjYTc0/maxresdefault.jpg,9:26,19559,743,63,4.12,235,3:55,41.52
Generate 1000 Content Idea in 5 Minutes (Free Tool Inside),yXqYKWRLhN8,2024-01-18 14:04:09,https://i.ytimg.com/vi/yXqYKWRLhN8/maxresdefault.jpg,7:06,27904,1174,89,4.53,112,1:52,26.29
Affiliate Marketing with AI - New Method (2024),S8Cb7mJ6sJQ,2024-01-11 16:38:13,https://i.ytimg.com/vi/S8Cb7mJ6sJQ/maxresdefault.jpg,7:42,62181,2008,152,3.47,109,1:49,23.59
I Found a New Freelancing Gig NO ONE is Talking About!,UIEN16lpWyw,2024-01-04 14:53:41,https://i.ytimg.com/vi/UIEN16lpWyw/maxresdefault.jpg,11:19,103933,3315,155,3.34,164,2:44,24.15
How To Create AI Tools Fast (Less Than 2 Minutes),86kpe27ANg0,2023-12-07 14:39:52,https://i.ytimg.com/vi/86kpe27ANg0/maxresdefault.jpg,8:18,91893,2450,122,2.8,122,2:02,24.5
API Bomber Method: Generate 3 Income Streams with One API,LlDu0ggmH-A,2023-11-25 13:58:23,https://i.ytimg.com/vi/LlDu0ggmH-A/hqdefault.jpg,4:36,22168,769,25,3.58,111,1:51,40.22
How To Make Money with APIs & AI (Full Guide),9ywA1hgWKG4,2023-10-31 12:14:51,https://i.ytimg.com/vi/9ywA1hgWKG4/maxresdefault.jpg,12:52,256772,6023,136,2.4,185,3:05,23.96
No One is Talking About The RJP ChatGPT Technique!,3nnMJ62dJlk,2023-09-26 13:48:18,https://i.ytimg.com/vi/3nnMJ62dJlk/hqdefault.jpg,6:27,32798,1388,116,4.59,155,2:35,40.05
Get ChatGPT Max 3.0 Before Anyone Else!,szZgrGIuA5M,2023-09-19 11:57:32,https://i.ytimg.com/vi/szZgrGIuA5M/maxresdefault.jpg,4:59,21126,918,106,4.85,110,1:50,36.79
Make Money From YouTube WITHOUT Uploading a Single Video!,EhCse0WKxCk,2023-08-31 13:00:07,https://i.ytimg.com/vi/EhCse0WKxCk/maxresdefault.jpg,6:03,66218,3886,160,6.11,140,2:20,38.57
6 Ways To Earn Money With Prompt Engineering,ZRY-fA2GCJ0,2023-08-10 12:45:06,https://i.ytimg.com/vi/ZRY-fA2GCJ0/maxresdefault.jpg,9:51,116805,2939,115,2.61,169,2:49,28.6
How to Create AI Tools in WordPress in 5 Minutes,4ASAcWwcrTA,2023-08-01 13:13:16,https://i.ytimg.com/vi/4ASAcWwcrTA/maxresdefault.jpg,7:01,100096,3021,201,3.22,155,2:35,36.82
Build A Full Online Business With Chatgpt's Help!,2EsEZB1LjMg,2023-07-18 13:00:07,https://i.ytimg.com/vi/2EsEZB1LjMg/maxresdefault.jpg,18:28,52962,1191,50,2.34,194,3:14,17.51
How To Make Money Online Selling Prompts!,kUoORhx4uQ4,2023-07-11 14:00:24,https://i.ytimg.com/vi/kUoORhx4uQ4/maxresdefault.jpg,8:40,79669,1497,58,1.95,138,2:18,26.54
One ChatGPT Prompt To Generate Anything!,KlVXgonKqNQ,2023-07-04 11:58:05,https://i.ytimg.com/vi/KlVXgonKqNQ/maxresdefault.jpg,4:56,83405,1767,86,2.22,133,2:13,44.93
"Go From Zero to $114,350 Using AI (Act Fast)",l_n_tADGe9I,2023-06-20 13:23:38,https://i.ytimg.com/vi/l_n_tADGe9I/maxresdefault.jpg,6:20,213557,7912,329,3.86,101,1:41,26.58
How I Got A 52.2% Email Open Rate With AI,r7uISjR_fLM,2023-06-06 12:31:40,https://i.ytimg.com/vi/r7uISjR_fLM/maxresdefault.jpg,7:39,16178,491,46,3.32,131,2:11,28.54
The Incredible Chatgpt Earthquake Edition! Get it Now!,-RGgYsufBQY,2023-05-23 12:06:11,https://i.ytimg.com/vi/-RGgYsufBQY/maxresdefault.jpg,6:54,40446,1189,133,3.27,171,2:51,41.3
How To Build and Sell an API Without Coding!,0HhoR_fgoNY,2023-05-09 12:00:44,https://i.ytimg.com/vi/0HhoR_fgoNY/maxresdefault.jpg,8:57,110022,2703,125,2.57,152,2:32,28.31
Use ChatGPT Chains To Get Maximum Results!,SdhMv6ZHHSU,2023-05-02 13:06:30,https://i.ytimg.com/vi/SdhMv6ZHHSU/maxresdefault.jpg,6:25,72146,2890,188,4.27,129,2:09,33.51
